CONTRATO,ESTADO,estado_final
379636,,! Pendiente
2504931,,! Pendiente
21586472158647,VISITA NO EFECTIVA,❌ No efectiva
1017687,CERTIFICADO,✅ Cumplidas
102192,CERTIFICADO,✅ Cumplidas
1025252,CERTIFICADO,✅ Cumplidas
1025681,CERTIFICADO,✅ Cumplidas
1026973,CERTIFICADO,✅ Cumplidas
1034634,CERTIFICADO,✅ Cumplidas
1038222,CERTIFICADO,✅ Cumplidas
1041856,CERTIFICADO,✅ Cumplidas
1042973,CERTIFICADO,✅ Cumplidas
10486,CERTIFICADO,✅ Cumplidas
1050963,CERTIFICADO,✅ Cumplidas
1063055,CERTIFICADO,✅ Cumplidas
1063077,CERTIFICADO,✅ Cumplidas
1071270,NO CERTIFICADO,✅ Cumplidas
1071721,VISITA NO EFECTIVA,❌ No efectiva
1076456,VISITA NO EFECTIVA,❌ No efectiva
1080135,CERTIFICADO,✅ Cumplidas
1081949,CERTIFICADO,✅ Cumplidas
1083244,CERTIFICADO,✅ Cumplidas
1083264,CERTIFICADO,✅ Cumplidas
1086631,CERTIFICADO,✅ Cumplidas
1089063,CERTIFICADO,✅ Cumplidas
1094390,CERTIFICADO,✅ Cumplidas
1094851,CERTIFICADO,✅ Cumplidas
1094985,VISITA NO EFECTIVA,❌ No efectiva
1096122,CERTIFICADO,✅ Cumplidas
1096882,CERTIFICADO,✅ Cumplidas
1097321,CERTIFICADO,✅ Cumplidas
1097393,CERTIFICADO,✅ Cumplidas
1104924,CERTIFICADO,✅ Cumplidas
1105456,CERTIFICADO,✅ Cumplidas
1111637,CERTIFICADO,✅ Cumplidas
1112911,CERTIFICADO,✅ Cumplidas
11161,CERTIFICADO,✅ Cumplidas
1117184,CERTIFICADO,✅ Cumplidas
1122042,CERTIFICADO,✅ Cumplidas
1133415,CERTIFICADO,✅ Cumplidas
1144200582,EJECUTADA(cumple),✅ Cumplidas
1159588,CERTIFICADO,✅ Cumplidas
118276,CERTIFICADO,✅ Cumplidas
1182916,CERTIFICADO,✅ Cumplidas
1191952,CERTIFICADO,✅ Cumplidas
1193757,CERTIFICADO,✅ Cumplidas
1195270,VISITA NO EFECTIVA,❌ No efectiva
1197784,CERTIFICADO,✅ Cumplidas
1200054,CERTIFICADO,✅ Cumplidas
1213896,CERTIFICADO,✅ Cumplidas
1215627,CERTIFICADO,✅ Cumplidas
122190,CERTIFICADO,✅ Cumplidas
1223456,CERTIFICADO,✅ Cumplidas
1223904,CERTIFICADO,✅ Cumplidas
1224488,CERTIFICADO,✅ Cumplidas
1226276,NO CERTIFICADO,✅ Cumplidas
1226833,CERTIFICADO,✅ Cumplidas
1227244,NO CERTIFICADO,✅ Cumplidas
122804,VISITA NO EFECTIVA,❌ No efectiva
1229179,CERTIFICADO,✅ Cumplidas
1230277,CERTIFICADO,✅ Cumplidas
1230619,CERTIFICADO,✅ Cumplidas
1231086,CERTIFICADO,✅ Cumplidas
1232611,VISITA NO EFECTIVA,❌ No efectiva
1234540,VISITA NO EFECTIVA,❌ No efectiva
1234902,CERTIFICADO,✅ Cumplidas
1234959,CERTIFICADO,✅ Cumplidas
1236535,VISITA NO EFECTIVA,❌ No efectiva
1237534,NO CERTIFICADO,✅ Cumplidas
1240799,NO CERTIFICADO,✅ Cumplidas
1254514,CERTIFICADO,✅ Cumplidas
